date;Jour;Temps;udebmin;udebmoy;udebmax;Qmin;Qmoy;Qmax
2001-01-01;lun;1;4131;21253;33524;;;
2001-01-02;mar;2;13294;24250;36941;;;
2001-01-03;mer;3;12716;26704;37995;;;
2001-01-04;jeu;4;14535;28036;38692;;;
2001-01-05;ven;5;13175;28436;48178;;;
2001-01-06;sam;6;12852;27029;42517;;;
2001-01-07;dim;7;5355;24948;37689;10308;25714;39241
2001-01-08;lun;8;5848;28328;42228;10671;26089;39812
2001-01-09;mar;9;13022;26495;40154;10776;26272;39807
2001-01-10;mer;10;11203;25643;39474;10646;26136;39764
2001-01-11;jeu;11;12937;25989;37706;10249;25963;39479
2001-01-12;ven;12;8772;25713;43656;9860;25821;38913
2001-01-13;sam;13;4845;23603;35751;9298;25498;38524
2001-01-14;dim;14;11628;23568;34867;9674;25345;38483
2001-01-15;lun;15;9214;26504;41514;9968;25109;38144
2001-01-16;mar;16;14756;26812;36873;9998;25122;38093
2001-01-17;mer;17;10897;24801;37400;9983;25218;38404
2001-01-18;jeu;18;8976;25609;34697;9981;25186;38371
2001-01-19;ven;19;7735;26457;40256;10125;25196;38058
2001-01-20;sam;20;4981;22499;37077;10450;25219;38280
2001-01-21;dim;21;10625;22808;37111;9951;25094;38178
2001-01-22;lun;22;9962;25030;37485;9739;24989;41986
2001-01-23;mar;23;13447;26668;39440;9012;24926;42012
2001-01-24;mer;24;10982;26996;43826;9164;24978;42069
2001-01-25;jeu;25;12920;25542;37247;9229;24980;42723
2001-01-26;ven;26;10778;25853;39270;9617;25003;42581
2001-01-27;sam;27;9401;23913;38862;9947;25035;42941
2001-01-28;dim;28;4641;21824;33439;9650;24973;42732
2001-01-29;lun;29;6239;25040;94826;9841;25195;42853
2001-01-30;mar;30;4590;25925;37230;9706;25069;43073
2001-01-31;mer;31;13022;25526;38199;9633;25054;43049
2001-02-01;jeu;32;9877;25644;43860;9525;25072;43210
2001-02-02;ven;33;13175;26775;38267;10581;28127;47222
2001-02-03;sam;34;9605;22947;42109;11519;29635;51251
2001-02-04;dim;35;6460;21940;34187;11712;30472;53896
2001-02-05;lun;36;12631;28140;39185;11932;31273;50748
2001-02-06;mar;37;11560;24896;42517;13028;31771;51146
2001-02-07;mer;38;9962;26789;43486;12721;32271;51790
2001-02-08;jeu;39;11407;25789;39508;13322;32692;51970
2001-02-09;ven;40;25568;68631;95438;12986;32925;52368
2001-02-10;sam;41;22525;45024;95268;13299;33240;52448
2001-02-11;dim;42;7344;33542;70465;13458;33492;52862
2001-02-12;lun;43;9316;36249;;13674;33562;53339
2001-02-13;mar;44;19941;32907;42415;13462;34260;55355
2001-02-14;mer;45;8721;32519;46563;13140;34308;55328
2001-02-15;jeu;46;18292;31542;46206;13000;34392;55964
2001-02-16;ven;47;8466;30038;43435;11647;31484;51935
2001-02-17;sam;48;13991;27349;43146;10846;29994;47477
2001-02-18;dim;49;8687;25476;39576;11462;31152;48637
2001-02-19;lun;50;15657;29120;45390;12111;31518;50304
2001-02-20;mar;51;8585;34667;68714;11677;31423;50723
2001-02-21;mer;52;5457;27458;43146;11638;31146;50173
2001-02-22;jeu;53;9452;26963;47770;11358;30864;49727
2001-02-23;ven;54;6630;27915;43061;11349;30700;49509
2001-02-24;sam;55;11305;24172;37315;11145;30461;49998
2001-02-25;dim;56;15963;49746;85544;11253;30352;50094
2001-02-26;lun;57;18411;41376;71978;11225;30299;50141
2001-02-27;mar;58;13855;31578;48280;11283;29828;47982
2001-02-28;mer;59;8177;28649;38862;11785;30083;49678
2001-03-01;jeu;60;14382;27582;39967;12315;30370;49632
2001-03-02;ven;61;8330;27747;40375;12702;30750;50546
2001-03-03;sam;62;;24000;;13264;31558;52476
2001-03-04;dim;63;10081;23961;40817;12596;30162;49919
2001-03-05;lun;64;15300;28366;46002;12532;29404;47748
2001-03-06;mar;65;9333;28076;40647;12069;29557;47782
2001-03-07;mer;66;11985;31028;65195;12885;30447;49925
2001-03-08;jeu;67;16337;30977;47175;13689;31446;52959
2001-03-09;ven;68;11662;33243;54944;14874;32446;55973
2001-03-10;sam;69;18615;35484;62407;15545;33405;55748
2001-03-11;dim;70;7276;30205;52292;16114;34018;56150
2001-03-12;lun;71;17578;30755;43758;16769;34926;58370
2001-03-13;mar;72;7837;33730;48722;16315;36030;60431
2001-03-14;mer;73;18785;41109;66725;18049;37309;61550
2001-03-15;jeu;74;24837;41556;79407;19941;39274;63671
2001-03-16;ven;75;23732;41759;79560;21522;41247;66073
2001-03-17;sam;76;24276;37421;52819;22008;42483;67530
2001-03-18;dim;77;18037;32543;46444;22109;43227;69206
2001-03-19;lun;78;24480;41071;77078;22620;43945;71430
2001-03-20;mar;79;2975;43545;69513;22829;44233;73136
2001-03-21;mer;80;36261;48928;80852;23312;44266;73668
2001-03-22;jeu;81;42823;58489;76874;23566;44504;73576
2001-03-23;ven;82;33796;60864;88570;24312;45119;73515
2001-03-24;sam;83;25415;52780;82807;25020;46044;75365
2001-03-25;dim;84;8687;40627;75752;26310;47842;77922
2001-03-26;lun;85;24735;40806;74902;27437;49297;78511
2001-03-27;mar;86;10761;37770;72607;30125;50658;79663
2001-03-28;mer;87;25551;41566;74171;31637;52338;80519
2001-03-29;jeu;88;28390;44889;78115;30607;53513;82534
2001-03-30;ven;89;34187;50370;78710;29582;54126;83674
2001-03-31;sam;90;34187;50370;78710;31410;55012;83680
2001-04-01;dim;91;36091;57718;82246;34578;57467;84458
2001-04-02;lun;92;40256;61438;85323;37732;60354;86532
2001-04-03;mar;93;40613;62596;85646;41988;63838;88852
2001-04-04;mer;94;57426;72453;92837;45012;66578;91101
2001-04-05;jeu;95;28407;74931;105077;48031;69257;92286
2001-04-06;ven;96;19448;69453;104533;49356;71002;92682
2001-04-07;sam;97;51000;65186;82892;47358;69845;92036
2001-04-08;dim;98;53040;74987;86649;45214;68914;93691
2001-04-09;lun;99;68884;81224;103938;44173;67749;93376
2001-04-10;mar;100;70346;86556;105077;43797;66699;92540
2001-04-11;mer;101;67898;79918;105655;41429;64809;91792
2001-04-12;jeu;102;70652;82393;94707;41298;62606;88217
2001-04-13;ven;103;52734;74804;84252;40568;60630;86332
2001-04-14;sam;104;6222;34174;69666;38783;58886;86240
2001-04-15;dim;105;6069;44689;105417;36589;56214;83652
2001-04-16;lun;106;25687;45124;80920;33542;53314;79956
2001-04-17;mar;107;35343;47891;73933;29377;49973;76620
2001-04-18;mer;108;24276;45999;82365;26139;46981;72896
2001-04-19;jeu;109;26571;44080;55029;21482;43525;70049
2001-04-20;ven;110;9231;41793;78149;18276;40700;71587
2001-04-21;sam;111;26010;40772;81600;19153;40471;69893
2001-04-22;dim;112;22321;37575;50422;19624;39465;68061
2001-04-23;lun;113;26231;40624;52190;19175;39046;67682
2001-04-24;mar;114;12036;39783;58378;17834;38079;66139
2001-04-25;mer;115;22559;38029;53516;17526;37497;66610
2001-04-26;jeu;116;5457;34019;54842;16479;36827;65987
2001-04-27;ven;117;7854;35247;105791;17287;36753;66328
2001-04-28;sam;118;18496;30967;45951;16406;36038;63602
2001-04-29;dim;119;12665;30604;79764;16151;35459;62906
2001-04-30;lun;120;19397;39262;75616;15398;34938;62685
2001-05-01;mar;121;16575;34346;52326;15939;34468;62125
2001-05-02;mer;122;19958;37858;88961;14792;33788;61770
2001-05-03;jeu;123;11917;34701;46308;14973;33124;62282
2001-05-04;ven;124;20536;40752;82926;14792;32470;59923
2001-05-05;sam;125;13685;30761;43435;14797;33378;63802
2001-05-06;dim;126;18751;29471;40681;14961;32909;60648
2001-05-07;lun;127;15691;33335;49096;13932;32194;60917
2001-05-08;mar;128;19601;33197;50541;13806;31608;59936
2001-05-09;mer;129;6511;28510;48535;12771;30672;56016
2001-05-10;jeu;130;7990;24720;62016;13071;30022;55450
2001-05-11;ven;131;5321;26098;72760;13134;30052;55667
2001-05-12;sam;132;18564;43681;100266;12421;29684;57632
2001-05-13;dim;133;14960;24037;35598;12076;29125;57031
2001-05-14;lun;134;4981;29245;79390;11335;28547;56400
2001-05-15;mar;135;14824;26143;38590;11072;28059;55722
2001-05-16;mer;136;5457;24753;34085;11185;27986;55058
2001-05-17;jeu;137;16116;25598;38386;11709;28051;53322
2001-05-18;ven;138;21420;41180;85952;11651;27926;51183
2001-05-19;sam;139;3706;25602;70958;11613;26514;46335
2001-05-20;dim;140;13923;21650;32266;11511;26774;49702
2001-05-21;lun;141;5321;25244;40256;12408;27098;50008
2001-05-22;mar;142;15912;26360;41055;11350;27049;50083
2001-05-23;mer;143;8092;27487;39236;12446;27421;51164
2001-05-24;jeu;144;15334;25633;37706;11952;27800;51407
