"IdLink","channel_name","active","LinkID","SrcDetectorId","SrcLatitude","SrcLongitude","DestDetectorId","DestLatitude","DestLongitude","LinkName","RouteDirectionName","SrcChannelId","DestChannelId","LineDistance_m","last_poll_time"
1,"Saint-Michel-Industriel",1,"LCh_10-16","10","45,5760283333333","-73,6364616666667","16","45,564785","-73,6449433333333","Charland:Saint-Michel a Papineau","O",11,17,1410,2019-07-02 18:44:59
2,"Papineau-charland",1,"LCh_16-10","16","45,564785","-73,6449433333333","10","45,5760283333333","-73,6364616666667","Charland:Papineau a Saint-Michel","N",17,11,1414,2019-07-02 18:44:58
3,"Papineau-Henri-Bourassa",1,"LHB_15-20","15","45,5702683333333","-73,6588066666667","20","45,555365","-73,6683933333333","Henri-Bourassa:Papineau a Lajeunesse","O",16,21,1818,2019-07-02 18:44:57
4,"Henri-Bourassa-Lajeunesse",1,"LHB_20-15","20","45,555365","-73,6683933333333","15","45,5702683333333","-73,6588066666667","Henri-Bourassa:Lajeunesse a Papineau","N",21,16,1818,2019-02-15 13:56:37
5,"Henri-Bourassa-Lajeunesse",1,"LHB_20-21","20","45,555365","-73,6683933333333","21","45,5349866666667","-73,6807116666667","Henri_Bourassa:Lajeunesse a Bourassa-Acadie","O",21,22,2460,2019-02-15 13:56:37
6,"Henri-Bourassa-Acadie",1,"LHB_21-20","21","45,5349866666667","-73,6807116666667","20","45,555365","-73,6683933333333","Henri_Bourassa:Acadie a Bourassa-Lajeunesse","E",22,21,2460,2019-07-02 18:45:02
7,"Saint-Michel-Jean-Talon",1,"LJT_12-18","12","45,5588366666667","-73,5981883333333","18","45,5479416666667","-73,6069","Jean Talon:SaintMichel a Papineau","S",13,19,1388,2019-07-02 18:45:00
8,"Papineau-Jean-talon",1,"LJT_18-12","18","45,5479416666667","-73,6069","12","45,5588366666667","-73,5981883333333","JeanTalon:Papineau a Saint-Michel","N",19,13,1388,2019-07-02 18:45:02
9,"Papineau-Henri-Bourassa",1,"LPa_15-16","15","45,5702683333333","-73,6588066666667","16","45,564785","-73,6449433333333","Papineau:Henri-Bourassa a Charland","S",16,17,1240,2019-07-02 18:44:57
10,"Papineau-charland",1,"LPa_16-15","16","45,564785","-73,6449433333333","15","45,5702683333333","-73,6588066666667","Papineau: Charland a Henri-Bourassa","N",17,16,1240,2019-07-02 18:44:58
11,"Papineau-charland",1,"LPa_16-17","16","45,564785","-73,6449433333333","17","45,5564283333333","-73,626345","Papineau:Charland a Barnabe-Larocque","S",17,18,1707,2019-07-02 18:44:58
12,"Papineau-Barnabe-Larocque",1,"LPa_17-16","17","45,5564283333333","-73,626345","16","45,564785","-73,6449433333333","Papineau:Barnabe-Larocque a Charland","N",18,17,1720,2019-07-02 18:45:00
13,"Papineau-Jean-talon",1,"LPa_18-17","18","45,5479416666667","-73,6069","17","45,5564283333333","-73,626345","Papineau:Jean-Talon a Barnabe-Larocque","N",19,18,1784,2019-07-02 18:45:02
14,"Papineau-Jean-talon",1,"LPa_18-19","18","45,5479416666667","-73,6069","19","45,5407733333333","-73,5914716666667","Papineau:Jean-Talon a Rosemont","S",19,20,1442,2019-07-02 18:45:02
15,"Papineau-Rosemont",1,"LPa_19-18","19","45,5407733333333","-73,5914716666667","18","45,5479416666667","-73,6069","Papineau:Rosemont a Jean-Talon","N",20,19,1442,2019-07-02 18:45:00
16,"Saint-Michel-Rosemont",1,"LRo_13-19","13","45,553235","-73,5804083333333","19","45,5407733333333","-73,5914716666667","Rosemont:SaintMichel a Papineau","S",14,20,1518,2019-07-02 18:45:00
17,"Papineau-Rosemont",1,"LRo_19-13","19","45,5407733333333","-73,5914716666667","13","45,553235","-73,5804083333333","Rosemont:Papineau a Saint-Michel","E",20,14,1518,2019-07-02 18:45:00
18,"Sherbrooke-Pie-IX",1,"LSh_01-02","1","45,5538466666667","-73,55452","2","45,5652283333333","-73,5544283333333","Sherbrooke_N01: Pie-IX a Viau","N",3,2,1265,2019-07-02 18:44:47
19,"Sherbrooke-Pie-IX",1,"LSh_01-03","1","45,5538466666667","-73,55452","3","45,5734033333333","-73,54895","Sherbrooke_N11: Pie-IX a Dickson","N",3,4,2258,2019-07-02 18:44:47
20,"Sherbrooke-Viau",1,"LSh_02-01","2","45,5652283333333","-73,5544283333333","1","45,5538466666667","-73,55452","Sherbrooke_S02: Viau a Pie-IX","S",2,3,1265,2019-07-02 18:45:00
21,"Sherbrooke-Viau",1,"LSh_02-03","2","45,5652283333333","-73,5544283333333","3","45,5734033333333","-73,54895","Sherbrooke_N02: Viau a Dickson","N",2,4,1004,2019-07-02 18:45:00
22,"Sherbrooke-Viau",1,"LSh_02-04","2","45,5652283333333","-73,5544283333333","4","45,5827283333333","-73,5425","Sherbrooke_N12: Viau a Langelier","N",2,5,2013,2019-07-02 18:45:00
23,"Sherbrooke-Dickson",1,"LSh_03-02","3","45,5734033333333","-73,54895","2","45,5652283333333","-73,5544283333333","Sherbrooke_S03: Dickson a Viau","S",4,2,1004,2019-06-18 16:41:39
24,"Sherbrooke-Dickson",1,"LSh_03-04","3","45,5734033333333","-73,54895","4","45,5827283333333","-73,5425","Sherbrooke_N03: Dickson a Langelier","N",4,5,1153,2019-06-18 16:41:39
25,"Sherbrooke-Langelier",1,"LSh_04-02","4","45,5827283333333","-73,5425","2","45,5652283333333","-73,5544283333333","Sherbrooke_S14:Langelier a Viau","S",5,2,2013,2019-07-02 18:45:02
26,"Sherbrooke-Langelier",1,"LSh_04-03","4","45,5827283333333","-73,5425","3","45,5734033333333","-73,54895","Sherbrooke_S04: Langelier a Dickson","S",5,4,1153,2019-07-02 18:45:02
27,"Sherbrooke-Langelier",1,"LSh_04-06","4","45,5827283333333","-73,5425","6","45,5941","-73,5364583333333","Sherbrooke_N14: Langelier a Curatteau","N",5,7,1900,2019-07-02 18:45:02
28,"Sherbrooke-Curatteau",1,"LSh_06-03","6","45,5941","-73,5364583333333","3","45,5734033333333","-73,54895","Sherbrooke_S26: Curatteau a Dickson","S",7,4,3056,2018-05-30 13:26:09
29,"Sherbrooke-Curatteau",1,"LSh_06-04","6","45,5941","-73,5364583333333","4","45,5827283333333","-73,5425","Sherbrooke_S16: Curatteau a Langelier","S",7,5,1900,2018-05-30 13:26:09
30,"Sherbrooke-Curatteau",1,"LSh_06-07","6","45,5941","-73,5364583333333","7","45,6009783333333","-73,532395","Sherbrooke_N06: Curatteau a SaintDonat","N",7,8,828,2018-05-30 13:26:09
31,"Sherbrooke-Curatteau",1,"LSh_06-08","6","45,5941","-73,5364583333333","8","45,6112","-73,5267083333333","Sherbrooke_N16: Curatteau a Fletcher","N",7,9,2481,2018-05-30 13:26:09
32,"Sherbrooke-SaintDonat",1,"LSh_07-06","7","45,6009783333333","-73,532395","6","45,5941","-73,5364583333333","Sherbrooke_S07: SaintDonat a Curatteau","S",8,7,828,2019-07-02 18:44:58
33,"Sherbrooke-SaintDonat",1,"LSh_07-08","7","45,6009783333333","-73,532395","8","45,6112","-73,5267083333333","Sherbrooke_N07: Saint-Donat a Fletcher","N",8,9,1219,2019-07-02 18:44:58
34,"Sherbrooke-Fletcher",1,"LSh_08-06","8","45,6112","-73,5267083333333","6","45,5941","-73,5364583333333","Sherbrooke_S18: Fletcher a Curatteau","S",9,7,2481,2019-07-02 18:44:57
35,"Sherbrooke-Fletcher",1,"LSh_08-07","8","45,6112","-73,5267083333333","7","45,6009783333333","-73,532395","Sherbrooke_S08: Fletcher a Saint-Donat","S",9,8,1219,2019-07-02 18:44:57
36,"Papineau-Barnabe-Larocque",1,"LPa_17-18","17","45,5564283333333","-73,626345","18","45,5479416666667","-73,6069","Papineau:Barnabe-Larocque a Jean-Talon","E",18,19,1784,2019-07-02 18:45:00
37,"Saint-Michel-Henri-Bourassa",0,"LSM_09-10","9","45,583867","-73,650314","10","45,5760283333333","-73,6364616666667","Saint-Michel:Henri-Bourassa a Industriel","S",10,11,1397,
38,"Saint-Michel-Industriel",1,"LSM_10-09","10","45,5760283333333","-73,6364616666667","9","45,583898","-73,650463","Saint-Michel:Industriel a Henri-Bourassa","N",11,10,1397,2019-07-02 18:44:59
